lgd_state_code,lgd_district_code,district_name,state_name,census_2011_district_code,notes
29,525,Bengaluru Urban,Karnataka,572.0,
23,394,Betul,Madhya Pradesh,447.0,
9,179,Bhadohi,Uttar Pradesh,198.0,Previously known as Sant Ravidas Nagr
36,690,Bhadradri Kothagudem,Telangana,541.0,boundary_inherited=True; Bhadradri Kothagudem district was formed from the erstwhile Khammam district in 2016
21,348,Bhadrak,Odisha,378.0,
10,192,Bhagalpur,Bihar,224.0,
27,471,Bhandara,Maharashtra,506.0,
8,91,Bharatpur,Rajasthan,105.0,
24,442,Bharuch,Gujarat,488.0,
24,443,Bhavnagar,Gujarat,481.0,
8,92,Bhilwara,Rajasthan,122.0,
23,395,Bhind,Madhya Pradesh,420.0,
6,59,Bhiwani,Haryana,81.0,
10,193,Bhojpur,Bihar,231.0,
23,396,Bhopal,Madhya Pradesh,444.0,
29,529,Bidar,Karnataka,558.0,
22,636,Bijapur,Chhattisgarh,417.0,
9,132,Bijnor,Uttar Pradesh,134.0,
8,93,Bikaner,Rajasthan,101.0,
22,375,Bilaspur,Chhattisgarh,406.0,
2,15,Bilaspur,Himachal Pradesh,30.0,
19,307,Birbhum,West Bengal,334.0,
14,252,Bishnupur,Manipur,275.0,
18,705,Biswanath,Assam,306.0,"boundary_inherited=True; On 31 December 2022, the district remerged with existing Sonitpur district ahead of delimitation process by ECI in the state.[3]"
20,322,Bokaro,Jharkhand,355.0,
18,281,Bongaigaon,Assam,319.0,
24,676,Botad,Gujarat,481.0,"boundary_inherited=True; Erstwhile, it was part of Bhavnagar District."
21,349,Boudh,Odisha,391.0,
9,133,Budaun,Uttar Pradesh,149.0,
1,2,Budgam,Jammu And Kashmir,2.0,
9,134,Bulandshahr,Uttar Pradesh,142.0,
27,472,Buldhana,Maharashtra,500.0,
8,94,Bundi,Rajasthan,121.0,
23,397,Burhanpur,Madhya Pradesh,467.0,
10,194,Buxar,Bihar,232.0,
18,282,Cachar,Assam,316.0,
7,77,Central,Delhi,95.0,
29,531,Chamarajanagara,Karnataka,578.0,
2,16,Chamba,Himachal Pradesh,23.0,
5,47,Chamoli,Uttarakhand,57.0,
5,48,Champawat,Uttarakhand,65.0,
15,262,Champhai,Mizoram,284.0,
9,135,Chandauli,Uttar Pradesh,196.0,
14,253,Chandel,Manipur,280.0,
4,44,Chandigarh,Chandigarh,55.0,
27,473,Chandrapur,Maharashtra,509.0,
12,229,Changlang,Arunachal Pradesh,253.0,
18,708,Charaideo,Assam,311.0,boundary_inherited=True; It was carved out of the Sivasagar district and is part of the Upper Assam division
6,701,Charki Dadri,Haryana,81.0,"boundary_inherited=True; Previously in Bhiwani district, Charkhi Dadri became part of the new Charkhi Dadri district in"
20,323,Chatra,Jharkhand,347.0,
33,730,Chengalpattu,Tamil Nadu,604.0,"boundary_inherited=True; Chengalpattu district was formed from the Kancheepuram district in Tamil Nadu, India in 2019:"
33,568,Chennai,Tamil Nadu,603.0,
23,398,Chhatarpur,Madhya Pradesh,425.0,
27,469,Chhatrapati Sambhajinagar,Maharashtra,515.0,Aurangabad name changed to C Shambaji Nagar
23,399,Chhindwara,Madhya Pradesh,455.0,
24,668,Chhotaudepur,Gujarat,486.0,"boundary_inherited=True; Chhotaudepur is a district in the state of Gujarat, India, that was created in 2013 from a portion of the Vadodara district."
29,630,Chikkaballapura,Karnataka,582.0,
29,532,Chikkamagaluru,Karnataka,570.0,
18,612,Chirang,Assam,320.0,
29,533,Chitradurga,Karnataka,566.0,
9,136,Chitrakoot,Uttar Pradesh,171.0,
28,503,Chittoor,Andhra Pradesh,554.0,
8,95,Chittorgarh,Rajasthan,126.0,
13,758,Chumoukedima,Nagaland,265.0,"boundary_inherited=True; The Chümoukedima district was formed from the Dimapur district in Nagaland on December 18, 2021."
14,254,Churachandpur,Manipur,274.0,
8,96,Churu,Rajasthan,102.0,
33,569,Coimbatore,Tamil Nadu,632.0,
19,308,Cooch Behar,West Bengal,329.0,
33,570,Cuddalore,Tamil Nadu,617.0,
21,350,Cuttack,Odisha,381.0,
38,465,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,496.0,
24,445,Dahod,Gujarat,485.0,
22,376,Dakshin Bastar Dantewada,Chhattisgarh,416.0,
19,310,Dakshin Dinajpur,West Bengal,331.0,
29,534,Dakshina Kannada,Karnataka,575.0,
38,463,Daman,The Dadra And Nagar Haveli And Daman And Diu,495.0,
23,400,Damoh,Madhya Pradesh,428.0,
24,444,Dangs,Gujarat,489.0,
10,195,Darbhanga,Bihar,215.0,
19,309,Darjeeling,West Bengal,327.0,
18,283,Darrang,Assam,325.0,
23,401,Datia,Madhya Pradesh,422.0,
8,97,Dausa,Rajasthan,109.0,
29,535,Davangere,Karnataka,567.0,
8,767,Deeg,Rajasthan,105.0,boundary_inherited=True (new LGD district); It is carved out from its former district bharatpur on 7 August 2023. It is situated 32 kilometres
5,49,Dehradun,Uttarakhand,60.0,
21,351,Deogarh,Odisha,373.0,
20,324,Deoghar,Jharkhand,350.0,
9,137,Deoria,Uttar Pradesh,190.0,
24,674,Devbhumi Dwarka,Gujarat,477.0,"boundary_inherited=True; The Devbhumi Dwarka district was created in Gujarat, India on August 15, 2013, when it was split from the Jamnagar district:"
23,402,Dewas,Madhya Pradesh,437.0,
16,269,Dhalai,Tripura,291.0,
22,377,Dhamtari,Chhattisgarh,412.0,
20,325,Dhanbad,Jharkhand,354.0,
23,403,Dhar,Madhya Pradesh,438.0,
27,488,Dharashiv,Maharashtra,525.0,previously known as Osmanabad
33,571,Dharmapuri,Tamil Nadu,630.0,
29,536,Dharwad,Karnataka,562.0,
18,284,Dhemaji,Assam,308.0,
21,352,Dhenkanal,Odisha,383.0,
8,98,Dholpur,Rajasthan,106.0,
18,285,Dhubri,Assam,301.0,
27,474,Dhule,Maharashtra,498.0,
12,230,Dibang Valley,Arunachal Pradesh,257.0,
18,286,Dibrugarh,Assam,310.0,
8,768,Didwana-Kuchaman,Rajasthan,112.0,"boundary_inherited=True (new LGD district); The government had earlier turned Deedwana-Kuchaman, previously part of Nagaur, into a new district."
18,299,Dima Hasao,Assam,315.0,Name changed from North Cachar Hills to Dima Hasao
13,244,Dimapur,Nagaland,265.0,
33,572,Dindigul,Tamil Nadu,612.0,
23,404,Dindori,Madhya Pradesh,453.0,
38,464,Diu,The Dadra And Nagar Haveli And Daman And Diu,494.0,
1,4,Doda,Jammu And Kashmir,16.0,
28,747,Dr BR Ambedkar Konaseema,Andhra Pradesh,545.0,"boundary_inherited=True; The District is a newly formed district, getting divided from Erstwhile East Godavari District, as per District Reorganization Act,2022"
8,769,Dudu,Rajasthan,110.0,"boundary_inherited=True (new LGD district); Jaipur North, Jaipur South, Dudu and Phalodi districts have been carved out of Jaipur district"
20,326,Dumka,Jharkhand,362.0,
8,99,Dungarpur,Rajasthan,124.0,
22,378,Durg,Chhattisgarh,409.0,
7,78,East,Delhi,93.0,
17,273,East Garo Hills,Meghalaya,294.0,
28,505,East Godavari,Andhra Pradesh,545.0,
17,657,East Jaintia Hills,Meghalaya,299.0,boundary_inherited=True; It was created when the Jaintia Hills District was split into East and West Jaintia Hills Districts
12,231,East Kameng,Arunachal Pradesh,247.0,
17,274,East Khasi Hills,Meghalaya,298.0,
12,232,East Siang,Arunachal Pradesh,251.0,
20,327,East Singhbum,Jharkhand,357.0,
17,740,Eastern West Khasi Hills,Meghalaya,296.0,"boundary_inherited=True; It was formed by splitting the West Khasi Hills district,"
28,748,Eluru,Andhra Pradesh,,parent_census_2011_code=multiple; boundary_inherited=True; Eluru district is carved out of the part of old West Godavari District along with 8 mandals from old Krishna District total with 28 mandals
32,555,Ernakulam,Kerala,595.0,
33,573,Erode,Tamil Nadu,610.0,
9,138,Etah,Uttar Pradesh,201.0,
9,139,Etawah,Uttar Pradesh,161.0,
6,60,Faridabad,Haryana,88.0,
3,29,Faridkot,Punjab,45.0,
9,141,Farrukhabad,Uttar Pradesh,159.0,
6,61,Fatehabad,Haryana,78.0,
3,30,Fatehgarh Sahib,Punjab,40.0,
9,142,Fatehpur,Uttar Pradesh,172.0,
3,651,Fazilka,Punjab,43.0,"boundary_inherited=True; The Fazilka district was formed on July 27, 2011, when the Government of Punjab carved it out of the existing Firozpur district"
3,31,Ferozepur,Punjab,43.0,
9,143,Firozabad,Uttar Pradesh,147.0,
29,537,Gadag,Karnataka,561.0,
27,475,Gadchiroli,Maharashtra,508.0,
21,353,Gajapati,Odisha,389.0,
1,626,Ganderbal,Jammu And Kashmir,11.0,
24,446,Gandhinagar,Gujarat,473.0,
8,100,Ganganagar,Rajasthan,99.0,
8,771,Gangapurcity,Rajasthan,108.0,boundary_inherited=True (new LGD district); Gangapur City became a new district in Rajasthan by separating from Sawai Madhopur district
11,225,Gangtok,Sikkim,244.0,Formerly East district
21,354,Ganjam,Odisha,388.0,
20,328,Garhwa,Jharkhand,346.0,
22,645,Gariyaband,Chhattisgarh,410.0,boundary_inherited=True; It was carved out of Raipur district
22,734,Gaurela-Pendra-Marwahi,Chhattisgarh,406.0,boundary_inherited=True; It was carved out of the Bilaspur district and is located on the border of Chhattisgarh and Madhya Pradesh
9,144,Gautam Buddha Nagar,Uttar Pradesh,141.0,
10,196,Gaya,Bihar,236.0,
9,145,Ghaziabad,Uttar Pradesh,140.0,
9,146,Ghazipur,Uttar Pradesh,195.0,
24,675,Gir Somnath,Gujarat,479.0,"boundary_inherited=True; The Gir Somnath district was formed in August 2013 when it was split from the Junagadh district in Gujarat, India."
20,329,Giridih,Jharkhand,349.0,
18,287,Goalpara,Assam,302.0,
20,330,Godda,Jharkhand,351.0,
18,288,Golaghat,Assam,313.0,
16,654,Gomati,Tripura,290.0,boundary_inherited=True; Gomati District was created in 2012 when the undivided South Tripura District was split into two districts.
9,147,Gonda,Uttar Pradesh,183.0,
27,476,Gondia,Maharashtra,507.0,
10,197,Gopalganj,Bihar,217.0,
9,148,Gorakhpur,Uttar Pradesh,188.0,
20,331,Gumla,Jharkhand,366.0,
23,406,Guna,Madhya Pradesh,458.0,
28,506,Guntur,Andhra Pradesh,548.0,
3,32,Gurdaspur,Punjab,35.0,
6,62,Gurugram,Haryana,86.0,
23,407,Gwalior,Madhya Pradesh,421.0,
11,228,Gyalshing,Sikkim,242.0,Formerly West district
18,289,Hailakandi,Assam,318.0,
2,17,Hamirpur,Himachal Pradesh,28.0,
9,149,Hamirpur,Uttar Pradesh,168.0,
36,686,Hanumakonda,Telangana,540.0,boundary_inherited=True; The Hanamkonda district was formed in 2016 when the Warangal district was reorganized to create two districts: Hanamkonda and Warangal.
8,101,Hanumangarh,Rajasthan,100.0,
9,661,Hapur,Uttar Pradesh,140.0,"boundary_inherited=True; The Hapur district in Uttar Pradesh, India was created on September 28, 2011 as the Panchsheel Nagar district, from parts of the Ghaziabad district"
23,408,Harda,Madhya Pradesh,448.0,
9,150,Hardoi,Uttar Pradesh,155.0,
5,50,Haridwar,Uttarakhand,68.0,
29,539,Hassan,Karnataka,574.0,
9,163,Hathras,Uttar Pradesh,144.0,
29,540,Haveri,Karnataka,564.0,
20,332,Hazaribagh,Jharkhand,360.0,
27,477,Hingoli,Maharashtra,512.0,
6,63,Hisar,Haryana,80.0,
15,726,Hnahthial,Mizoram,286.0,boundary_inherited=True; The district was created by splitting off from the Lunglei district.
18,709,Hojai,Assam,305.0,boundary_inherited=True; It was carved out of Nagaon district and is one of five districts in Assam.
19,312,Hooghly,West Bengal,338.0,
3,33,Hoshiarpur,Punjab,38.0,
19,313,Howrah,West Bengal,341.0,
36,507,Hyderabad,Telangana,536.0,
32,556,Idukki,Kerala,596.0,
14,255,Imphal East,Manipur,278.0,
14,256,Imphal West,Manipur,277.0,
23,410,Indore,Madhya Pradesh,439.0,
23,411,Jabalpur,Madhya Pradesh,451.0,
21,355,Jagatsinghapur,Odisha,380.0,
36,681,Jagitial,Telangana,534.0,"boundary_inherited=True; Jagtial district was formed from the erstwhile Karimnagar district in Telangana, India."
8,102,Jaipur,Rajasthan,110.0,
8,783,Jaipur (Gramin),Rajasthan,110.0,"boundary_inherited=True (new LGD district); Jaipur Rural is a new district that was created by reorganizing the Jaipur district in Rajasthan, India."
8,103,Jaisalmer,Rajasthan,114.0,
21,356,Jajapur,Odisha,382.0,
3,34,Jalandhar,Punjab,37.0,
9,151,Jalaun,Uttar Pradesh,165.0,
27,478,Jalgaon,Maharashtra,499.0,
27,479,Jalna,Maharashtra,514.0,
8,104,Jalore,Rajasthan,116.0,
19,314,Jalpaiguri,West Bengal,328.0,
1,5,Jammu,Jammu And Kashmir,21.0,
24,447,Jamnagar,Gujarat,477.0,
20,333,Jamtara,Jharkhand,363.0,
10,198,Jamui,Bihar,238.0,
36,689,Jangoan,Telangana,,"parent_census_2011_code=multiple ; boundary_inherited=True; The Jangaon district in the Indian state of Telangana was formed on October 11, 2016, from parts of the Warangal and Nalgonda districts:"
22,379,Janjgir-Champa,Chhattisgarh,405.0,
22,380,Jashpur,Chhattisgarh,402.0,
9,152,Jaunpur,Uttar Pradesh,194.0,
36,687,Jayashankar Bhupalapally,Telangana,,"parent_census_2011_code=multiple ; boundary_inherited=True; The Jayashankar Bhupalpally district was formed in Telangana, India on October 11, 2016, when parts of the Warangal and Karimnagar districts were annexed."
10,199,Jehanabad,Bihar,239.0,
23,412,Jhabua,Madhya Pradesh,464.0,
6,64,Jhajjar,Haryana,83.0,
8,105,Jhalawar,Rajasthan,129.0,
9,153,Jhansi,Uttar Pradesh,166.0,
19,703,Jhargram,West Bengal,344.0,"boundary_inherited=True; Jhargram district in West Bengal, India was formed on April 4, 2017, by splitting from the Paschim Medinipur district"
21,357,Jharsuguda,Odisha,371.0,
8,106,Jhunjhunu,Rajasthan,103.0,
6,65,Jind,Haryana,77.0,
14,713,Jiribam,Manipur,278.0,boundary_inherited=True; Jiribam from Imphal East districts.
8,107,Jodhpur,Rajasthan,113.0,
8,778,Jodhpur (Gramin),Rajasthan,113.0,"boundary_inherited=True (new LGD district); Jodhpur Gramin district was formed from the old Jodhpur district in Rajasthan, India on August 7, 2023."
36,695,Jogulamba Gadwal,Telangana,538.0,"boundary_inherited=True; Jogulamba Gadwal district was formed from the Mahabubnagar district in Telangana, India on October 11, 2016."
18,290,Jorhat,Assam,312.0,
24,448,Junagadh,Gujarat,479.0,
22,382,Kabeerdham,Chhattisgarh,407.0,Name changed from Kawardha to Kabirdham
24,449,Kachchh,Gujarat,468.0,
10,200,Kaimur (Bhabua),Bihar,233.0,
6,66,Kaithal,Haryana,73.0,
14,711,Kakching,Manipur,276.0,boundary_inherited=True; Kakching has been carved out of the erstwhile Thoubal district.
28,746,Kakinada,Andhra Pradesh,545.0,"boundary_inherited=True; The District is a newly formed district, getting divided from Erstwhile East Godavari District, as per District Reorganization Act,2022."
29,538,Kalaburagi,Karnataka,579.0,Name changed it from Gulbarga
21,358,Kalahandi,Odisha,395.0,
19,702,Kalimpong,West Bengal,327.0,"boundary_inherited=True; Kalimpong district was formed on February 14, 2017, when it split from the Darjeeling district to become the 21st district of West Bengal."
33,729,Kallakurichi,Tamil Nadu,607.0,"boundary_inherited=True; Kallakurichi district was formed from the bifurcation of the Viluppuram district in Tamil Nadu, India:"
36,685,Kamareddy,Telangana,533.0,"boundary_inherited=True; Kamareddy district was formed from the residual Nizamabad district on October 11, 2016."
14,717,Kamjong,Manipur,279.0,boundary_inherited=True; Kampong from Ukhrul
12,718,Kamle,Arunachal Pradesh,,"parent_census_2011_code=multiple; boundary_inherited=True; On 4 December 2017, a new district called Kamle district was created from Lower Subansiri District and Upper Subansiri District"
18,291,Kamrup,Assam,321.0,
18,618,Kamrup Metro,Assam,322.0,
33,574,Kancheepuram,Tamil Nadu,604.0,
21,359,Kandhamal,Odisha,390.0,
14,712,Kangpokpi,Manipur,272.0,boundary_inherited=True; It was formed from three sub-divisions of Senapati District:
2,18,Kangra,Himachal Pradesh,24.0,
9,155,Kannauj,Uttar Pradesh,160.0,
33,575,Kanniyakumari,Tamil Nadu,629.0,
32,557,Kannur,Kerala,589.0,
9,156,Kanpur Dehat,Uttar Pradesh,163.0,
9,157,Kanpur Nagar,Uttar Pradesh,164.0,
3,35,Kapurthala,Punjab,36.0,
34,598,Karaikal,Puducherry,637.0,
8,108,Karauli,Rajasthan,107.0,
18,292,Karbi Anglong,Assam,314.0,
37,6,Kargil,Ladakh,4.0,
18,293,Karimganj,Assam,317.0,
36,508,Karimnagar,Telangana,534.0,
6,67,Karnal,Haryana,74.0,
33,576,Karur,Tamil Nadu,613.0,
32,558,Kasaragod,Kerala,588.0,
9,633,Kasganj,Uttar Pradesh,202.0,Previously known as Kanshiram Nagar
1,7,Kathua,Jammu And Kashmir,7.0,
10,201,Katihar,Bihar,212.0,
23,413,Katni,Madhya Pradesh,450.0,
9,158,Kaushambi,Uttar Pradesh,174.0,
8,781,Kekri,Rajasthan,,parent_census_2011_code=multiple; boundary_inherited=True (new LGD district); Kekri is a new district in Rajasthan that was formed from parts of the Ajmer and Tonk districts
21,360,Kendrapara,Odisha,379.0,
21,361,Kendujhar,Odisha,375.0,
10,202,Khagaria,Bihar,223.0,
22,759,Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,408.0,boundary_inherited=True; It was created by separating from the Rajnandgaon district and became the 31st district in the state.
8,770,Khairthal-Tijara,Rajasthan,104.0,"boundary_inherited=True (new LGD district); The Khairthal-Tijara district was created on August 4, 2023, when the Alwar district was reorganized"
36,509,Khammam,Telangana,541.0,
23,405,Khandwa (East Nimar),Madhya Pradesh,466.0,
23,414,Khargone (West Nimar),Madhya Pradesh,440.0,
15,728,Khawzawl,Mizoram,284.0,boundary_inherited=True; Khawzawl District was created from Champhai District in 2008 but non functional till 2019.
24,450,Kheda,Gujarat,483.0,
9,159,Kheri,Uttar Pradesh,153.0,
21,362,Khordha,Odisha,386.0,
16,652,Khowai,Tripura,289.0,boundary_inherited=True; The district was carved out of West Tripura district along with new Sipahijala district
20,606,Khunti,Jharkhand,365.0,
2,19,Kinnaur,Himachal Pradesh,34.0,
13,614,Kiphire,Nagaland,269.0,
10,203,Kishanganj,Bihar,210.0,
1,620,Kishtwar,Jammu And Kashmir,18.0,
29,541,Kodagu,Karnataka,576.0,
20,334,Koderma,Jharkhand,348.0,
13,245,Kohima,Nagaland,270.0,
18,294,Kokrajhar,Assam,300.0,
29,542,Kolar,Karnataka,581.0,
15,263,Kolasib,Mizoram,282.0,
27,480,Kolhapur,Maharashtra,530.0,
19,315,Kolkata,West Bengal,342.0,
32,559,Kollam,Kerala,600.0,
22,643,Kondagaon,Chhattisgarh,414.0,"boundary_inherited=True; The district of Kondagaon in Chhattisgarh, India was formed on January 24, 2012, when it was separated from the Bastar district"
29,543,Koppal,Karnataka,560.0,
21,363,Koraput,Odisha,398.0,
22,383,Korba,Chhattisgarh,404.0,
22,384,Korea,Chhattisgarh,400.0,
8,109,Kota,Rajasthan,127.0,
8,782,Kotputli-Behror,Rajasthan,,"parent_census_2011_code=multiple; boundary_inherited=True (new LGD district); Kotputli-Behror district was formed by combining parts of the Jaipur and Alwar districts in Rajasthan, India."
32,560,Kottayam,Kerala,597.0,
32,561,Kozhikode,Kerala,591.0,
12,677,Kra Daadi,Arunachal Pradesh,256.0,boundary_inherited=True; It was created from the Kurung Kumey district
28,510,Krishna,Andhra Pradesh,547.0,
33,577,Krishnagiri,Tamil Nadu,631.0,boundary_inherited=True; Carved out of Dharmapuri
1,622,Kulgam,Jammu And Kashmir,15.0,
2,20,Kullu,Himachal Pradesh,26.0,
36,699,Kumuram Bheem Asifabad,Telangana,532.0,"boundary_inherited=True; Kumuram Bheem Asifabad district in Telangana, India was formed in 2016 from the Adilabad district"
1,8,Kupwara,Jammu And Kashmir,1.0,
28,511,Kurnool,Andhra Pradesh,552.0,
6,68,Kurukshetra,Haryana,72.0,
12,233,Kurung Kumey,Arunachal Pradesh,256.0,
9,160,Kushinagar,Uttar Pradesh,189.0,
2,21,Lahaul And Spiti,Himachal Pradesh,25.0,
18,295,Lakhimpur,Assam,307.0,
10,204,Lakhisarai,Bihar,227.0,
31,553,Lakshadweep District,Lakshadweep,587.0,
9,161,Lalitpur,Uttar Pradesh,167.0,
20,335,Latehar,Jharkhand,359.0,
27,481,Latur,Maharashtra,524.0,
15,264,Lawngtlai,Mizoram,287.0,
37,9,Leh Ladakh,Ladakh,3.0,
12,724,Leparada,Arunachal Pradesh,250.0,boundary_inherited=True; created from the West Siang district by bifurcating its southern areas along Assam border into a new district.
20,336,Lohardaga,Jharkhand,356.0,
12,234,Lohit,Arunachal Pradesh,259.0,
12,666,Longding,Arunachal Pradesh,254.0,boundary_inherited=True; The Longding district became a full-fledged district after bifurcating from Tirap district on 19th March 2012.
13,615,Longleng,Nagaland,268.0,
12,235,Lower Dibang Valley,Arunachal Pradesh,258.0,
12,719,Lower Siang,Arunachal Pradesh,,parent_census_2011_code=multiple; boundary_inherited=True; Its territory was carved out of West Siang and East Siang districts.
12,236,Lower Subansiri,Arunachal Pradesh,255.0,
9,162,Lucknow,Uttar Pradesh,157.0,
3,36,Ludhiana,Punjab,41.0,
15,265,Lunglei,Mizoram,286.0,
10,205,Madhepura,Bihar,213.0,
10,206,Madhubani,Bihar,207.0,
33,578,Madurai,Tamil Nadu,623.0,
36,688,Mahabubabad,Telangana,540.0,"boundary_inherited=True; The Mahabubabad district in Telangana, India was formed on October 11, 2016, when it was carved out of the erstwhile Warangal district."
36,512,Mahabubnagar,Telangana,538.0,
22,385,Mahasamund,Chhattisgarh,411.0,
34,599,Mahe,Puducherry,636.0,
6,69,Mahendragarh,Haryana,84.0,
24,451,Mahesana,Gujarat,471.0,
24,669,Mahisagar,Gujarat,,"parent_census_2011_code=multiple; boundary_inherited=True; It was carved out of the Panchmahal and Kheda districts,"
9,165,Mahoba,Uttar Pradesh,169.0,
9,164,Mahrajganj,Uttar Pradesh,187.0,
23,784,Maihar,Madhya Pradesh,429.0,boundary_inherited=True (new LGD district); t was created by separating from the Satna district and is the 55th district in the state.
9,166,Mainpuri,Uttar Pradesh,148.0,
18,706,Majuli,Assam,312.0,boundary_inherited=True; Majuli carved out of the Northern parts of Jorhat is the first river island district of India.
